bin,case,status_group,zip,in_outbreak_zip,community_board,nta,lat,lon,n_towers,n_active_towers,reg_age_days,n_samples,never_sampled,days_since_last_sample,n_samples_12mo,n_samples_24mo,median_gap_days,max_gap_days,overdue_90d,n_inspections,n_violations,n_citations,ever_violation,n_violation_types,days_since_last_inspection
1008117,0,,10014,0,102,MN24,40.727473,-74.00548,2,2,3978,0,1,,0,0,,,1,45,28,18,1,3,633
1028172,0,,10023,0,107,MN14,40.773048,-73.98028,1,1,3976,0,1,,0,0,,,1,13,6,4,1,3,1105
1036441,0,,10022,0,106,MN19,40.756122,-73.972618,2,2,3975,0,1,,0,0,,,1,16,12,8,1,3,2400
1046258,0,,10021,0,108,MN31,40.765777,-73.953315,1,1,3975,1,0,349,1,1,,,1,9,2,1,1,2,365
1027122,0,,10036,0,,MN15,40.764567,-73.995993,1,1,3975,0,1,,0,0,,,1,21,13,13,1,2,785
1056465,0,,10025,0,107,MN12,40.796895,-73.970135,1,1,3972,0,1,,0,0,,,1,16,9,6,1,3,486
1081661,0,,10003,0,,MN21,40.733328,-73.982345,1,1,3382,0,1,,0,0,,,1,55,42,29,1,3,269
1000868,0,,10005,0,101,MN25,40.704546,-74.006636,1,1,3972,0,1,,0,0,,,1,12,6,6,1,2,2339
1087233,0,,10035,0,,MN34,40.802303,-73.935566,1,1,3972,0,1,,0,0,,,1,32,28,0,1,3,1421
1017589,0,,10016,0,,MN20,40.751075,-73.980189,1,1,3970,0,1,,0,0,,,1,22,16,9,1,3,720
1035051,0,,10019,0,105,MN17,40.762518,-73.974756,2,2,3970,5,0,21,5,5,82.0,90,0,32,18,11,1,3,525
1034807,0,,10019,0,105,MN17,40.762035,-73.975829,1,1,3970,0,1,,0,0,,,1,26,20,13,1,3,608
1016034,0,,10018,0,,MN17,40.752991,-73.985054,1,2,3969,0,1,,0,0,,,1,13,6,6,1,3,1016
1014595,0,,10011,0,104,MN13,40.739863,-73.996889,1,1,3969,0,1,,0,0,,,1,19,13,8,1,3,805
1036889,0,,10022,0,,MN19,40.760512,-73.969079,1,1,3969,0,1,,0,0,,,1,21,9,7,1,3,324
1036175,0,,10017,0,,MN19,40.752715,-73.974457,1,1,3969,0,1,,0,0,,,1,26,16,11,1,3,682
1036926,0,,10022,0,105,MN19,40.761293,-73.969995,1,1,3969,0,1,,0,0,,,1,15,10,5,1,3,504
1089437,0,,10019,0,,MN17,40.7645,-73.983004,1,1,3969,0,1,,0,0,,,1,43,37,28,1,3,155
1035393,0,,10017,0,,MN17,40.754846,-73.977181,4,4,3361,7,0,15,7,7,48.0,89,0,64,33,26,1,3,658
1040811,0,,10065,0,,MN40,40.764316,-73.969846,1,1,3968,0,1,,0,0,,,1,22,17,11,1,3,1449
1058659,0,,10027,0,110,MN11,40.809253,-73.948978,2,2,3968,5,0,22,5,5,25.0,245,0,34,19,12,1,3,338
1039972,0,,10022,0,,MN19,40.757496,-73.964045,2,2,3968,0,1,,0,0,,,1,52,48,36,1,3,512
1001245,0,,10038,0,,MN25,40.710871,-74.00839,3,4,3968,2,0,9,2,2,299,299,0,16,0,0,0,0,820
1080710,0,,10001,0,105,MN13,40.744989,-73.988773,2,2,3968,0,1,,0,0,,,1,63,45,33,1,3,1091
1035330,0,,10017,0,105,MN20,40.753006,-73.981213,1,1,3968,0,1,,0,0,,,1,31,26,19,1,3,850
1001112,0,,10038,0,101,MN25,40.70765,-74.007758,1,1,3965,0,1,,0,0,,,1,73,58,40,1,3,195
1024938,0,,10036,0,104,MN15,40.758499,-73.990745,1,1,3965,0,1,,0,0,,,1,40,37,26,1,3,836
1089790,0,,10038,0,101,MN25,40.710828,-74.007041,1,1,3965,0,1,,0,0,,,1,19,8,6,1,3,192
1088698,0,,10003,0,103,MN22,40.724379,-73.99111,1,1,3965,0,1,,0,0,,,1,17,11,8,1,3,448
1001015,0,,10038,0,101,MN25,40.707109,-74.007329,1,1,3965,0,1,,0,0,,,1,19,4,4,1,2,296
1067979,0,,10011,0,104,MN13,40.747304,-74.003248,2,2,3964,5,0,9,5,5,27.5,223,0,39,25,18,1,3,1023
1023456,0,,10019,0,,MN17,40.764046,-73.97785,3,3,3964,0,1,,0,0,,,1,60,38,25,1,3,533
1037552,0,,10017,0,106,MN19,40.750207,-73.973108,2,2,3964,0,1,,0,0,,,1,15,6,4,1,2,779
1037551,0,,10017,0,106,MN19,40.750281,-73.973288,1,1,3964,0,1,,0,0,,,1,8,4,1,1,3,777
1017211,0,,10016,0,106,MN20,40.749506,-73.979583,1,1,3964,0,1,,0,0,,,1,23,12,7,1,3,716
1036162,0,,10017,0,106,MN19,40.752417,-73.97532,1,1,3964,0,1,,0,0,,,1,6,0,0,0,0,861
1034801,0,,10019,0,,MN17,40.76163,-73.975403,1,1,3963,0,1,,0,0,,,1,29,22,15,1,3,246
1055718,0,,10025,0,107,MN09,40.800197,-73.960359,1,1,3963,0,1,,0,0,,,1,22,20,15,1,3,2054
1027463,0,,10023,0,107,MN14,40.770833,-73.982136,2,2,3963,0,1,,0,0,,,1,23,21,16,1,3,2387
1017176,0,,10016,0,,MN20,40.749805,-73.983152,1,1,3963,0,1,,0,0,,,1,12,3,2,1,3,836
1019161,0,,10016,0,,MN20,40.749444,-73.977851,1,1,3963,0,1,,0,0,,,1,19,19,13,1,3,3065
1019164,0,,10016,0,106,MN20,40.749772,-73.978024,1,1,3963,0,1,,0,0,,,1,48,47,33,1,3,575
1076275,0,,10017,0,,MN19,40.751188,-73.970863,1,1,3963,0,1,,0,0,,,1,0,0,0,0,0,
1017190,0,,10016,0,,MN20,40.74998,-73.98294,1,1,3963,0,1,,0,0,,,1,21,12,9,1,3,836
1018475,0,,10016,0,106,MN20,40.745293,-73.980512,1,1,3962,0,1,,0,0,,,1,11,3,2,1,3,211
1018474,0,,10016,0,106,MN20,40.745534,-73.980339,1,1,3962,0,1,,0,0,,,1,9,1,0,1,1,211
1031230,0,,10024,0,,MN12,40.783903,-73.971502,1,1,3962,0,1,,0,0,,,1,30,18,11,1,3,234
1047005,1,D_added_by0716,10128,1,,MN40,40.784071,-73.957155,1,1,3962,0,1,,0,0,,,1,34,27,19,1,3,805
1088288,0,,10039,0,,MN03,40.822808,-73.939191,1,1,3962,0,1,,0,0,,,1,43,40,31,1,3,332
1015877,0,,10001,0,,MN17,40.748814,-73.984687,3,3,3963,8,0,23,8,8,22,154,0,67,50,31,1,3,161
