bin,case,status_group,zip,in_outbreak_zip,community_board,nta,lat,lon,n_towers,n_active_towers,reg_age_days,n_samples,never_sampled,days_since_last_sample,n_samples_12mo,n_samples_24mo,median_gap_days,max_gap_days,overdue_90d,n_inspections,n_violations,n_citations,ever_violation,n_violation_types,days_since_last_inspection,bbl,yearbuilt,numfloors,unitsres,unitstotal,bldgarea,assesstot,landuse,bldg_age_yrs,log_assess,reg_age_yrs,days_since_last_inspection_imp
1047005,1,D_added_by0716,10128.0,1,,MN40,40.784071,-73.957155,1,1,3962,0,1,,0,0,,,1,34,27,19,1,3,805.0,1015020059,1929.0,10.0,0.0,1.0,66600.0,15101100.0,8,97.0,7.179008583487236,10.847364818617386,805.0
1086902,1,C_added_complete,10128.0,1,,MN40,40.78419,-73.95782,1,3,3962,0,1,,0,0,,,1,0,0,0,0,0,,1015020001,1901.0,4.0,0.0,2.0,56368.0,27894600.0,8,125.0,7.445520138141502,10.847364818617386,1318.0
1085796,0,,10128.0,1,108.0,MN32,40.776302,-73.943758,1,1,3961,0,1,,0,0,,,1,29,20,0,1,3,359.0,1015920001,1801.0,2.0,0.0,1.0,7500.0,58126050.0,9,225.0,7.764370811146823,10.844626967830253,359.0
1051386,0,,10028.0,1,108.0,MN32,40.773188,-73.946028,1,1,3961,0,1,,0,0,,,1,19,9,6,1,3,219.0,1015900036,1951.0,15.0,155.0,157.0,169386.0,22552200.0,4,75.0,7.353188914340631,10.844626967830253,219.0
1048267,0,,10128.0,1,,MN40,40.781939,-73.952091,1,1,3959,0,1,,0,0,,,1,35,28,23,1,3,223.0,1015190040,1900.0,5.0,39.0,43.0,35200.0,6115050.0,4,126.0,6.78640001241651,10.839151266255989,223.0
1047080,0,,10128.0,1,,MN40,40.784902,-73.955223,1,1,3958,0,1,,0,0,,,1,31,25,18,1,3,805.0,1015040047,1931.0,5.0,0.0,1.0,38000.0,5091300.0,8,95.0,6.706828688179734,10.836413415468858,805.0
1050869,1,D_added_by0716,10028.0,1,108.0,MN32,40.772355,-73.949714,1,1,3958,0,1,,0,0,,,1,20,17,13,1,3,139.0,1015770001,1972.0,31.0,267.0,270.0,281902.0,38252250.0,4,54.0,7.5826569854725205,10.836413415468858,139.0
1050733,0,,10128.0,1,108.0,MN32,40.778696,-73.945106,1,1,3956,0,1,,0,0,,,1,36,36,25,1,3,811.0,1015700021,1986.0,37.0,265.0,269.0,279945.0,45772650.0,4,40.0,7.660606056562353,10.830937713894592,811.0
1088595,0,,10075.0,1,108.0,MN31,40.774128,-73.956963,1,1,3955,0,1,,0,0,,,1,15,8,4,1,3,959.0,1014337502,2011.0,19.0,45.0,47.0,118381.0,29617667.0,4,15.0,7.47155084591609,10.82819986310746,959.0
1049252,1,D_added_by0716,10075.0,1,,MN32,40.772621,-73.952892,1,1,3950,0,1,,0,0,,,1,28,20,18,1,3,224.0,1015420023,1915.0,3.0,0.0,3.0,8981.0,2394450.0,4,111.0,6.379205772700066,10.8145106091718,224.0
